Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0486-DORIAN GRAY LOW GLOSS,2020-05-04 00:00:00,9,1593.25,U0486_AKZO,14,17387.64523,10.91331883,1,10.91331883,1593.25
0486-DORIAN GRAY LOW GLOSS,2020-05-11 00:00:00,8,995.5,U0486_AKZO,16,15750.72091,15.82191955,1,15.82191955,995.5
0486-DORIAN GRAY LOW GLOSS,2020-05-12 00:00:00,3,435.23,U0486_AKZO,1,1006.59,2.312777152,1,2.312777152,435.23
0486-DORIAN GRAY LOW GLOSS,2020-05-13 00:00:00,2,189.25,U0486_AKZO,2,1976.64,10.44459709,1,10.44459709,189.25
0486-DORIAN GRAY LOW GLOSS,2020-05-18 00:00:00,1,110,U0486_AKZO,,,,1,7.524857452,110
0486-DORIAN GRAY LOW GLOSS,2020-06-13 00:00:00,5,816.25,U0486_AKZO,4,6160.247524,7.54701075,1,7.54701075,816.25
0486-DORIAN GRAY LOW GLOSS,2020-06-22 00:00:00,1,189.25,U0486_AKZO,2,1937.84805,10.23961982,1,10.23961982,189.25
0486-DORIAN GRAY LOW GLOSS,2020-06-23 00:00:00,4,697.75,U0486_AKZO,1,1506.886602,2.159636836,1,2.159636836,697.75
0486-DORIAN GRAY LOW GLOSS,2020-06-29 00:00:00,12,2081.75,U0486_AKZO,25,28020.6541,13.46014368,1,13.46014368,2081.75
0486-DORIAN GRAY LOW GLOSS,2020-07-01 00:00:00,4,757,U0486_AKZO,9,9437.955708,12.46757689,1,12.46757689,757
0486-DORIAN GRAY LOW GLOSS,2020-07-03 00:00:00,6,946.25,U0486_AKZO,6,5991.914,6.332273712,1,6.332273712,946.25
0486-DORIAN GRAY LOW GLOSS,2020-07-10 00:00:00,3,487.784,U0486_AKZO,4,3492.60386,7.160144367,1,7.160144367,487.784
0486-DORIAN GRAY LOW GLOSS,2020-07-12 00:00:00,12,1862.5,U0486_AKZO,23,22435.47014,12.04589001,1,12.04589001,1862.5
0486-DORIAN GRAY LOW GLOSS,2020-07-13 00:00:00,6,975.5,U0486_AKZO,7,6809.40871,6.980429226,1,6.980429226,975.5
0486-DORIAN GRAY LOW GLOSS,2020-07-14 00:00:00,21,3138,U0486_AKZO,32,35517.73415,11.3185896,1,11.3185896,3138
0486-DORIAN GRAY LOW GLOSS,2020-07-15 00:00:00,3,418.5,U0486_AKZO,1,1522.292994,3.637498193,1,3.637498193,418.5
0486-DORIAN GRAY LOW GLOSS,2020-07-16 00:00:00,8,877,U0486_AKZO,9,10043.16524,11.45172776,1,11.45172776,877
0486-DORIAN GRAY LOW GLOSS,2020-07-17 00:00:00,2,308.5,U0486_AKZO,2,2146.015,6.956288493,1,6.956288493,308.5
0486-DORIAN GRAY LOW GLOSS,2020-07-19 00:00:00,14,2021.75,U0486_AKZO,25,26292.90045,13.00502063,1,13.00502063,2021.75
0486-DORIAN GRAY LOW GLOSS,2020-07-21 00:00:00,16,2081.75,U0486_AKZO,10,11934.20055,5.732773172,1,5.732773172,2081.75
0486-DORIAN GRAY LOW GLOSS,2020-07-22 00:00:00,4,323.5,U0486_AKZO,9,7441.10499,23.00187014,1,23.00187014,323.5
0486-DORIAN GRAY LOW GLOSS,2020-07-23 00:00:00,12,1439.75,U0486_AKZO,15,15274.27753,10.60897901,1,10.60897901,1439.75
0486-DORIAN GRAY LOW GLOSS,2020-07-24 00:00:00,1,70,U0486_AKZO,,,,1,207.5949857,70
0486-DORIAN GRAY LOW GLOSS,2020-07-27 00:00:00,7,757,U0486_AKZO,13,12005.17818,15.85888795,1,15.85888795,757
